topic,type,text
Kortsvar,FREE_TEXT,Vad menas med normhierarki?
Kortsvar,FREE_TEXT,Varför krävs det två riksdagsbeslut med val emellan för att ändra en grundlag?
Kortsvar,FREE_TEXT,Vad innebär folksuveränitetsprincipen enligt 1 kap. 1 § RF?
Scenarier,FREE_TEXT,"En journalist kontaktar en kommun och begär att få ta del av alla handlingar som rör en stor upphandling. Kommunen vägrar och säger att handlingarna är hemliga. → Vilken grundlag aktualiseras? Förklara kort."
Scenarier,FREE_TEXT,"Regeringen vill snabbt ändra reglerna för vem som får ärva tronen. De föreslår att riksdagen ska rösta om det nästa vecka som en vanlig lag. → Kan regeringen göra så? Varför/varför inte?"
Scenarier,FREE_TEXT,"En myndighet fattar ett beslut som påverkar en privatperson negativt. Det visar sig att beslutet saknar helt stöd i lag – myndigheten har hittat på en egen regel. → Vilken princip i 1 kap. RF bryts? Förklara kort vad principen innebär."
Fördjupning,FREE_TEXT,"Under coronapandemin begränsade regeringen mötesfriheten genom att förbjuda sammankomster med fler än åtta personer. Mötesfriheten skyddas i 2 kap. RF, men är en så kallad relativ rättighet som kan begränsas genom vanlig lag. Var det rätt att begränsa mötesfriheten under pandemin? Vilka argument talar för respektive emot?"
Fördjupning,FREE_TEXT,Vad är skillnaden mellan en absolut och en relativ rättighet? Ge ett exempel på vardera.
Fördjupning,FREE_TEXT,Varför tror ni att grundlagen tillåter begränsningar av vissa rättigheter men inte andra? Vad säger det om vilka värden samhället anser vara viktigast?
